team,O_record,%_over,%_under,total_+/-
Boston Red Sox,23-10-0,69.7%,30.3%,+2.3
Texas Rangers,19-9-2,67.9%,32.1%,+2.3
Oakland Athletics,20-10-2,66.7%,33.3%,+3.1
Atlanta Braves,19-12-1,61.3%,38.7%,+0.6
Los Angeles Dodgers,19-12-1,61.3%,38.7%,+1.6
Baltimore Orioles,18-12-1,60.0%,40.0%,+1.7
Tampa Bay Rays,17-12-3,58.6%,41.4%,+1.3
Chicago White Sox,17-12-3,58.6%,41.4%,+1.9
Arizona Diamondbacks,16-13-2,55.2%,44.8%,+1.2
Houston Astros,16-14-1,53.3%,46.7%,0.0
Kansas City Royals,16-14-2,53.3%,46.7%,+0.8
Cincinnati Reds,16-15-0,51.6%,48.4%,+0.5
Seattle Mariners,15-15-1,50.0%,50.0%,+0.1
Los Angeles Angels,15-15-2,50.0%,50.0%,+1.0
Pittsburgh Pirates,15-16-1,48.4%,51.6%,0.0
San Francisco Giants,14-15-1,48.3%,51.7%,+0.8
Detroit Tigers,14-15-1,48.3%,51.7%,0.0
Minnesota Twins,14-15-3,48.3%,51.7%,+0.4
Philadelphia Phillies,15-17-0,46.9%,53.1%,+1.1
Toronto Blue Jays,14-16-2,46.7%,53.3%,+0.5
Miami Marlins,14-17-1,45.2%,54.8%,+0.4
St. Louis Cardinals,14-17-1,45.2%,54.8%,+0.2
New York Mets,14-17-1,45.2%,54.8%,+0.5
Colorado Rockies,14-18-0,43.8%,56.3%,-0.2
Chicago Cubs,13-17-1,43.3%,56.7%,+0.3
Milwaukee Brewers,13-17-1,43.3%,56.7%,-0.4
San Diego Padres,13-17-2,43.3%,56.7%,-0.3
Washington Nationals,12-17-2,41.4%,58.6%,-0.8
Cleveland Guardians,11-19-1,36.7%,63.3%,0.0
New York Yankees,10-21-1,32.3%,67.7%,-0.3
